Species1	Species2	Values
Candida tropicalis	Bacteroides salyersiae	0.031516
Candida tropicalis	Streptococcus lutetiensis	-0.771534
Candida tropicalis	Enterococcus avium	0.0820979
Candida tropicalis	Acidaminococcus intestini	0.143646
Candida tropicalis	Faecalibacterium sp. IP118	0.143252
Candida tropicalis	Ruthenibacterium lactatiformans	0.0971098
Candida tropicalis	Streptococcus agalactiae	0.130974
Candida tropicalis	Actinomyces sp. HMT 175	0.124507
Candida tropicalis	Bacteroides sp. KGMB07931	0.0399838
Candida albicans	Homo sapiens	-0.228189
Candida albicans	Saccharomyces cerevisiae	0.0885519
Candida albicans	Candida tropicalis	-0.297679
Candida albicans	Candida albicans	0
Candida albicans	Botrytis cinerea	0.069098
Candida albicans	Aspergillus oryzae	-0.0865288
Candida albicans	Toxoplasma gondii	-0.010912
Candida albicans	Trypanosoma brucei	-0.117574
Candida albicans	Leishmania infantum	0.078165
Candida albicans	Staphylococcus aureus	0.00392321
Candida albicans	Streptococcus pneumoniae	-0.338943
Candida albicans	Streptococcus thermophilus	-0.0379697
Candida albicans	Streptococcus sp. A12	-0.00983153
Candida albicans	Streptococcus salivarius	0.0299324
Candida albicans	Streptococcus australis	-0.00958727
Candida albicans	Streptococcus parasanguinis	0.0303812
Candida albicans	Lactococcus piscium	-0.0139745
Candida albicans	Limosilactobacillus fermentum	-0.0225714
Candida albicans	Latilactobacillus sakei	-0.0134943
Candida albicans	Leuconostoc carnosum	-0.0137455
Candida albicans	Lactobacillus helveticus	-0.012345
Candida albicans	Enterococcus faecium	0.00554487
Candida albicans	Abiotrophia defectiva	-0.0581925
Candida albicans	Blautia wexlerae	0.00452894
Candida albicans	Blautia massiliensis	-0.0508571
